MATERIAL,Unidad de medida,17,18,19,20,porcentaje,tipo
Reactivo Fehling A,mililitros,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Reactivo Fehling B,mililitros,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Resina sintética,mililitros,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Rojo carmín,gramos,10 x grupo,10 x grupo,10 x grupo,5 x grupo,15,SUSTANCIAS
Sacarosa,gramos,500 x grupo,500 x grupo,500 x grupo,500 x grupo,15,SUSTANCIAS
Safranina,gramos,,,,5 x grupo,15,SUSTANCIAS
Sudán III,mililitros,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Sudán IV,mililitros,250 x grupo,250 x grupo,250 x grupo,250 x grupo,15,SUSTANCIAS
Sueros sanguíneos y determinación factor Rh,juego/curso,1 x grupo,1 x grupo,1 x grupo,1 x grupo,15,SUSTANCIAS
Verde de malaquita,gramos,,,,25 x grupo,15,SUSTANCIAS
